id;text;sort_order;bold;comment;date
1;bluetooth Chips;60875;true;infrastructures Table;2020-02-14
2;client-driven;81540;false;teal bypass;2020-02-14
3;full-range;22579;true;Analyst;2020-02-14
4;Human Central Iceland Krona;88105;true;Forks;2020-02-14
5;online;42857;false;synergistic cutting-edge Shoes;2020-02-14
6;Baby;44719;false;Kenya matrix quantify;2020-02-14
7;Granite;27817;false;Borders hack Credit Card Account;2020-02-13
8;5th generation matrix;82082;true;back-end Maryland;2020-02-14
9;Shoes;32127;true;Fresh;2020-02-14
10;Ball Personal Loan Account;60647;true;system-worthy;2020-02-14
